priority,rank,target_id,source,project,lane,sota_pain_class,sota_pain_evidence,action,duration_s,repetitions,runnable_now,benefit_to_prove,primary_endpoint_metrics,mechanism_evidence_required,blocking_issue,claim_boundary,command,post_unblock_commands,evidence_paths
P1,3,PDF003,magma,poppler,binding_validation_first,,,validate_binding_spec_then_short_screen,600,1,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""BindingSpec candidate is not native-site-map validated"", ""no comparison package exists yet"", ""native build dependencies missing: libcairo2-dev libopenjp2-7-dev"", ""poppler_cairo_pkg_config apt=libcairo2-dev"", ""poppler_openjpeg_cmake_config apt=libopenjp2-7-dev""]","Validation is a gate, not an efficacy result.",,"[""sudo apt-get install -y libcairo2-dev libopenjp2-7-dev"", ""scripts/run_magma_baselines.sh --target-id PDF003 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PDF003.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json"", ""artifacts/formtrig_native_readiness/magma_native_builds/PDF003/build_plan.json""]"
P1,4,SSL015,magma,openssl,binding_validation_first,,,validate_binding_spec_then_short_screen,600,1,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""BindingSpec candidate is not native-site-map validated"", ""no comparison package exists yet""]","Validation is a gate, not an efficacy result.",,"[""scripts/run_magma_baselines.sh --target-id SSL015 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL015.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json"", ""artifacts/formtrig_native_readiness/magma_native_builds/SSL015/build_plan.json""]"
P1,5,PDF016,magma,poppler,binding_validation_first,,,validate_binding_spec_then_short_screen,600,1,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""BindingSpec candidate is not native-site-map validated"", ""no comparison package exists yet""]","Validation is a gate, not an efficacy result.",,"[""scripts/run_magma_baselines.sh --target-id PDF016 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PDF016.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json"", ""artifacts/formtrig_native_readiness/magma_native_builds/PDF016/build_plan.json""]"
P1,6,PHP009,magma,php,binding_validation_first,,,run_validated_matched_short_screen,600,1,true,"Now that BindingSpec guidance is validated, test endpoint benefit against faithful AFL++ family baselines under the same budget. Promote only if baseline binary TC remains flat before _T and FORMTRIG improves terminal success, TTE, or execution cost.","[""same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible binary TC flatness before _T"", ""baseline R2T late/missing/high-variance evidence across repetitions""]","[""validated native BindingSpec with replay-stable pre-trigger D_F progress"", ""accepted non-trigger progress before terminal _T"", ""same seed corpus and Magma _T oracle as faithful AFL++ baselines"", ""binary-TC guidance-gap classification before any main-claim promotion"", ""validation non-trigger progress events=2"", ""validation candidate events=3233""]",[],"A passing short screen is still promotion evidence, not final 2h evidence; if baselines trigger early with acceptable time cost, demote to control/design work.",scripts/run_magma_baselines.sh --target-id PHP009 --durations 600 --jobs 4 --out artifacts/formtrig_native_readiness/raw/php009_validated_short_600s_1rep_baselines && scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PHP009.current_1rep.list --duration 600 --jobs 4 --continue-on-fail --out-root artifacts/formtrig_native_readiness/raw/php009_validated_short_600s_1rep_formtrig,"[""after both arms finish, build a comparison package with tools/compare_formtrig_baselines.py"", ""classify the target as hard-gap evidence only if faithful baselines show flat binary TC guidance and late/missing/high-variance _T""]","[""/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php009_binding_validation_60s/summary.jsonl"", ""artifacts/formtrig_native_readiness/binding_validation/PHP009.native_draft_magma_canary.60s.validation.json"", ""artifacts/magma_canary_inventory.json"", ""artifacts/formtrig_native_readiness/magma_native_builds/PHP009/build_plan.json""]"
P1,7,LIBXML2_1107,real_cve,libxml2,binding_validation_first,,,validate_binding_spec_then_short_screen,600,1,false,"Before comparing performance, prove that the candidate BindingSpec creates replay-stable pre-trigger guidance.","[""binding audit pass/fail"", ""accepted non-trigger progress count"", ""short-screen first _T/TTE after validation""]","[""native site-map validation"", ""lift audit pass"", ""binding-signal diagnosis pass"", ""seed readiness with reached non-trigger seeds""]","[""no external PoC/input link recorded"", ""no vulnerable/fix commit link recorded"", ""BindingSpec candidate is not native-site-map validated""]","Validation is a gate, not an efficacy result.",,"[""run short FORMTRIG gate and same-budget AFL++ family baselines""]","[""artifacts/cve_bench_candidate_audit.json""]"
P1,8,GPAC_3403,real_cve,gpac,binding_spec_first,,,validate_replay_then_draft_binding_spec,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""validate vulnerable build and PoC replay"", ""write harness admissibility note"", ""draft BindingSpec and run binding-signal sweep""]","[""artifacts/cve_bench_candidate_audit.json""]"
P2,9,SQL013,magma,sqlite3,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SQL013 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SQL013.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P2,10,SSL009,magma,openssl,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id SSL009 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/SSL009.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P2,11,PHP003,magma,php,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id PHP003 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PHP003.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
P2,12,PHP010,magma,php,binding_spec_first,,,draft_binding_spec_then_short_screen,600,1,false,Find whether a binary or lifecycle TC can be converted into accepted non-trigger progress and then a faster terminal outcome than faithful baselines.,"[""10m same-budget terminal success rate"", ""first _T / terminal-crash wall-clock time"", ""first _T / terminal-crash execution count"", ""baseline-visible vs FORMTRIG-only endpoint behavior""]","[""BindingSpec compiles against native site ids"", ""D_F_spec_lifted is non-constant before _T"", ""saved non-trigger progress is replay-stable"", ""typed mutation, if used, is BindingSpec-provenance tagged""]","[""no BindingSpec candidate exists yet"", ""no comparison package exists yet""]",Do not spend 2h budget or make performance claims until the short screen has endpoint benefit; use failed screens as negative/control evidence.,,"[""scripts/run_magma_baselines.sh --target-id PHP010 --durations 600 --jobs 4"", ""scripts/run_formtrig_manifest_batch.sh --manifest-list artifacts/formtrig_native_readiness/manifests/PHP010.list --duration 600 --jobs 4 --continue-on-fail""]","[""artifacts/magma_canary_inventory.json""]"
